Employee Name,Timestamp from footage(in seconds),DATE
person_3,0,03-03-2023
person_1,0,03-03-2023
person_4,1.818181818,03-03-2023
person_2,2,03-03-2023
person_5,2.181818182,03-03-2023
person_6,4.727272727,03-03-2023
person_7,6,03-03-2023
person_8,9.454545455,03-03-2023
person_9,10.90909091,03-03-2023
person_10,12.36363636,03-03-2023
person_12,16.36363636,03-03-2023
person_11,16.36363636,03-03-2023
person_16,21.27272727,03-03-2023
person_13,22.36363636,03-03-2023
person_14,23.63636364,03-03-2023
person_15,26.36363636,03-03-2023
person_20,27.81818182,03-03-2023
person_18,30.36363636,03-03-2023
person_23,31.45454545,03-03-2023
person_17,33.63636364,03-03-2023
person_22,36.36363636,03-03-2023
person_26,43.81818182,03-03-2023
person_25,44.18181818,03-03-2023
person_24,47.09090909,03-03-2023
person_27,47.09090909,03-03-2023
person_28,50,03-03-2023
person_30,54.72727273,03-03-2023
person_29,55.27272727,03-03-2023
